,Code Postal,Ville,Pièces,Chambres,Superficie,Loyer
143,75001,PARIS,1,,21,1512
144,75001,PARIS,2,1,55,1950
145,75001,PARIS,2,1,40,2200
146,75001,PARIS,2,1,50,2400
147,75001,PARIS,2,1,32,1550
148,75001,PARIS,2,1,34,2000
149,75001,PARIS,2,1,50,2200
150,75001,PARIS,2,1,35,1800
151,75001,PARIS,5,3,180,10700
152,75001,PARIS,4,3,110,6000
153,75001,PARIS,1,,35,1600
154,75001,PARIS,3,2,63,2600
155,75001,PARIS,4,3,110,4700
156,75001,PARIS,2,1,32,1850
157,75001,PARIS,1,4,60,2367
158,75001,PARIS,1,4,40,1846
159,75001,PARIS,1,4,50,1893
160,75001,PARIS,2,1,47,2150
161,75001,PARIS,2,1,40,2020
162,75001,PARIS,2,1,40,1800
163,75001,PARIS,2,1,40,2200
164,75001,PARIS,2,1,50,2500
165,75001,PARIS,3,2,92,4800
166,75001,PARIS,2,1,30,1450
167,75001,PARIS,1,,17,915
168,75001,PARIS,2,1,40,2600
169,75001,PARIS,3,2,45,5594
170,75001,PARIS,1,,32,2000
171,75001,PARIS,3,2,71,2550
172,75001,PARIS,3,2,72,4000
173,75001,PARIS,4,3,64,3000
174,75001,PARIS,2,1,49,2600
175,75001,PARIS,2,1,55,2192
176,75001,PARIS,1,,32,1500
177,75001,PARIS,1,5,50,2738
178,75001,PARIS,2,1,43,1600
179,75001,PARIS,2,1,"30,07",1333
180,75001,PARIS,2,,"32,48",1230
181,75001,PARIS,2,,"33,48",1460
182,75001,PARIS,2,,"24,87",1110
183,75001,PARIS,2,,"32,48",1230
184,75001,PARIS,1,,"23,57",845
185,75001,PARIS,3,1,58,2000
186,75001,PARIS,3,2,"82,75",3132
187,75001,PARIS,1,,33,1290
188,75001,PARIS,2,1,31,1850
189,75001,PARIS,1,,"23,5",930
190,75001,PARIS,2,1,51,1850
191,75001,PARIS,2,1,"46,48",1789
192,75001,PARIS,2,1,44,2000
193,75001,PARIS,1,,"24,51",904
194,75001,PARIS,5,2,145,6700
195,75001,PARIS,2,1,"29,07",1248
196,75001,PARIS,1,,"22,05",1100
197,75001,PARIS,1,,33,1230
198,75001,PARIS,1,,32,1290
199,75001,PARIS,1,,27,1250
200,75001,PARIS,2,1,50,2100
201,75001,PARIS,3,1,53,2590
202,75001,PARIS,1,,14,923
203,75001,PARIS,1,,21,880
204,75001,PARIS,3,,100,6850
205,75001,PARIS,6,3,255,9960
206,75001,PARIS,1,,"17,2",635
207,75001,PARIS,2,1,55,1750
208,75001,PARIS,1,,12,650
209,75001,PARIS,1,,51,3200
210,75001,PARIS,2,1,33,1700
211,75001,PARIS,3,2,70,2474
212,75001,PARIS,3,2,55,2800
213,75001,PARIS,1,,24,1720
214,75001,PARIS,1,,"30,06",1270
215,75001,PARIS,2,1,50,2400
216,75001,PARIS,3,2,60,3000
217,75001,PARIS,2,1,"42,8",2150
218,75001,PARIS,2,1,50,2100
219,75001,PARIS,3,2,75,2530
220,75001,PARIS,1,,30,1290
221,75001,PARIS,2,1,38,2150
222,75001,PARIS,2,1,36,1720
223,75001,PARIS,5,3,130,4700
224,75001,PARIS,2,1,"58,74",1860
225,75001,PARIS,2,1,"46,48",1789
226,75001,PARIS,2,1,43,2200
227,75001,PARIS,2,1,"35,27",1432
228,75001,PARIS,2,1,35,1800
229,75001,PARIS,1,,17,896
230,75001,PARIS,2,1,"42,8",1595
231,75001,PARIS,3,2,"68,33",2659
232,75001,PARIS,2,1,44,1850
233,75001,PARIS,1,,21,1075
234,75001,PARIS,4,3,84,3300
235,75001,PARIS,2,1,45,2500
236,75001,PARIS,1,,"19,5",900
237,75001,PARIS,3,2,81,5000
238,75001,PARIS,2,1,32,2500
239,75001,PARIS,7,4,112,3950
240,75001,PARIS,2,1,50,2000
241,75001,PARIS,2,1,49,1950
242,75001,PARIS,4,3,182,10000
243,75001,PARIS,1,,24,1500
244,75001,PARIS,3,1,58,1950
245,75001,PARIS,2,1,33,1660
246,75001,PARIS,2,1,45,1850
247,75001,PARIS,2,1,58,2490
248,75001,PARIS,2,1,40,1900
249,75001,PARIS,2,1,45,2100
250,75002,PARIS,3,2,72,3200
251,75002,PARIS,2,1,59,2000
252,75002,PARIS,3,1,"59,95",1890
253,75002,PARIS,2,1,50,2200
254,75002,PARIS,1,,"26,61",1300
255,75002,PARIS,2,1,"23,65",1272
256,75002,PARIS,2,1,47,1865
257,75002,PARIS,3,2,60,2580
258,75002,PARIS,3,2,75,2995
259,75002,PARIS,2,1,"25,02",980
260,75002,PARIS,1,,15,800
261,75002,PARIS,3,2,"85,88",3305
262,75002,PARIS,3,2,70,2300
263,75002,PARIS,3,2,60,3000
264,75002,PARIS,2,1,65,2750
265,75002,PARIS,3,2,90,2560
266,75002,PARIS,3,2,60,2500
267,75002,PARIS,3,2,"75,2",2700
268,75002,PARIS,2,1,40,1480
269,75002,PARIS,2,1,55,3500
270,75002,PARIS,3,2,80,3500
271,75002,PARIS,2,1,30,1515
272,75002,PARIS,2,1,40,1950
273,75002,PARIS,3,2,60,2072
274,75002,PARIS,2,1,45,1432
275,75002,PARIS,2,1,47,2200
276,75002,PARIS,3,2,86,3300
277,75002,PARIS,1,,17,1212
278,75002,PARIS,2,1,86,4040
279,75002,PARIS,1,,19,930
280,75002,PARIS,2,1,50,2500
281,75002,PARIS,1,,29,1360
282,75002,PARIS,3,2,50,2200
283,75002,PARIS,4,3,160,7200
284,75002,PARIS,1,,"30,32",1250
285,75002,PARIS,1,,"19,58",734
286,75002,PARIS,1,,"28,54",976
287,75002,PARIS,4,3,"160,13",7200
288,75002,PARIS,2,1,56,1750
289,75002,PARIS,1,,22,1050
290,75002,PARIS,2,1,40,1650
291,75002,PARIS,4,3,95,3200
292,75002,PARIS,2,1,37,1450
293,75002,PARIS,5,3,133,4600
294,75002,PARIS,2,1,25,1400
295,75002,PARIS,1,,"28,57",1350
296,75002,PARIS,5,3,165,7200
297,75002,PARIS,4,3,119,3800
298,75002,PARIS,1,,20,950
299,75002,PARIS,2,1,"60,9",1947
300,75002,PARIS,5,4,"158,7",4935
301,75002,PARIS,1,,23,1200
302,75002,PARIS,2,1,40,1750
303,75002,PARIS,2,1,42,2500
304,75002,PARIS,3,2,38,1950
305,75002,PARIS,2,1,"42,27",1368
306,75002,PARIS,2,1,45,1950
307,75002,PARIS,3,2,"68,08",2200
308,75002,PARIS,3,2,70,2400
309,75002,PARIS,2,1,65,2300
310,75002,PARIS,2,1,40,1595
311,75002,PARIS,4,3,100,3660
312,75002,PARIS,2,1,46,2300
313,75002,PARIS,1,,34,1890
314,75002,PARIS,2,1,"40,23",1369
315,75002,PARIS,2,1,"49,2",2700
316,75002,PARIS,1,,"15,29",730
317,75002,PARIS,2,1,39,2150
318,75002,PARIS,2,1,50,1750
319,75002,PARIS,2,1,"31,57",1240
320,75002,PARIS,3,2,110,3100
321,75002,PARIS,2,1,"28,29",1250
322,75002,PARIS,2,1,40,1700
323,75002,PARIS,1,,30,1450
324,75002,PARIS,2,1,86,4040
325,75002,PARIS,1,,"23,73",870
326,75002,PARIS,6,3,"153,07",4876
327,75002,PARIS,1,,28,1021
328,75002,PARIS,3,3,"69,24",1710
329,75002,PARIS,1,,22,1150
330,75002,PARIS,3,2,"75,29",3200
331,75002,PARIS,3,2,"134,17",3725
332,75002,PARIS,3,2,46,1810
333,75002,PARIS,1,,47,1450
334,75002,PARIS,1,,24,990
335,75002,PARIS,2,1,35,1800
336,75002,PARIS,2,1,49,2070
337,75002,PARIS,2,1,44,1850
338,75002,PARIS,2,1,"40,54",1550
339,75002,PARIS,1,,"42,83",1390
340,75002,PARIS,3,1,"54,8",1640
341,75002,PARIS,1,,18,900
342,75002,PARIS,4,2,130,7000
343,75002,PARIS,2,1,33,1500
344,75002,PARIS,1,,21,906
345,75002,PARIS,3,2,"93,6",3612
346,75002,PARIS,2,1,38,1450
347,75002,PARIS,3,2,60,2200
348,75002,PARIS,1,,34,1825
349,75002,PARIS,3,2,75,2990
350,75002,PARIS,6,4,150,5300
351,75002,PARIS,2,1,37,1500
352,75002,PARIS,2,1,50,2350
353,75002,PARIS,1,4,50,2652
354,75002,PARIS,1,4,70,2462
355,75002,PARIS,1,,45,2500
356,75002,PARIS,2,1,30,1450
357,75002,PARIS,1,,47,2300
358,75002,PARIS,1,,"26,5",1050
359,75002,PARIS,2,1,33,1500
360,75002,PARIS,2,1,28,1700
361,75002,PARIS,2,1,40,1700
362,75002,PARIS,2,1,42,1600
363,75002,PARIS,1,,21,1200
364,75002,PARIS,1,,25,1600
365,75002,PARIS,1,,21,1150
366,75002,PARIS,1,,15,850
367,75002,PARIS,1,4,50,1522
368,75002,PARIS,1,4,55,2215
369,75002,PARIS,1,,23,1500
370,75002,PARIS,3,2,57,3000
371,75002,PARIS,2,1,32,1600
372,75002,PARIS,1,,21,1260
373,75002,PARIS,1,4,60,2264
374,75002,PARIS,6,5,300,10000
375,75002,PARIS,5,4,140,7000
376,75002,PARIS,2,1,40,1595
377,75002,PARIS,6,5,300,10000
378,75002,PARIS,3,2,60,2500
379,75002,PARIS,1,,25,2000
380,75002,PARIS,1,,25,1500
381,75002,PARIS,4,2,90,3100
382,75002,PARIS,3,1,58,2350
383,75002,PARIS,2,1,37,1650
384,75002,PARIS,2,1,58,2500
385,75002,PARIS,1,,20,1200
386,75002,PARIS,2,1,65,2300
387,75002,PARIS,5,3,165,7200
388,75002,PARIS,2,1,"26,11",987
389,75002,PARIS,1,,"23,5",1050
390,75002,PARIS,2,,"30,91",1210
391,75002,PARIS,1,,15,650
392,75002,PARIS,3,1,70,2100
393,75002,PARIS,1,,30,2000
394,75002,PARIS,1,,20,1500
395,75002,PARIS,2,1,64,2760
396,75002,PARIS,2,1,"28,86",1025
397,75002,PARIS,1,,23,970
398,75002,PARIS,1,,18,1000
399,75002,PARIS,1,,"16,75",840
400,75002,PARIS,2,1,"50,35",1700
401,75002,PARIS,2,1,37,1250
